CCTV,#genre#
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8?icpid=88888888&servicetype=1
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8?icpid=88888888&servicetype=1
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8?icpid=88888888&servicetype=1
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8?icpid=88888888&servicetype=1
西藏卫视,http://222.85.69.6/PLTV/88888888/224/3221227006/index.m3u8?icpid=88888888&servicetype=1
新疆卫视,http://222.85.69.6/PLTV/88888888/224/3221227009/index.m3u8?icpid=88888888&servicetype=1
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8?icpid=88888888&servicetype=1
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8?icpid=88888888&servicetype=1
4K超清,#genre#
CCTV4K,http://222.85.69.6/PLTV/88888888/224/3221227244/index.m3u8?icpid=88888888&servicetype=1
四川卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227333/index.m3u8?icpid=88888888&servicetype=1
山东卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227274/index.m3u8?icpid=88888888&servicetype=1
浙江卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227275/index.m3u8?icpid=88888888&servicetype=1
北京卫视4k,http://222.85.69.6/PLTV/88888888/224/3221227108/index.m3u8?icpid=88888888&servicetype=1
湖南卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227278/index.m3u8?icpid=88888888&servicetype=1
江苏卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227330/index.m3u8?icpid=88888888&servicetype=1
东方卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227271/index.m3u8?icpid=88888888&servicetype=1
河南卫视4K,http://222.85.69.6/PLTV/88888888/224/3221226954/index.m3u8?icpid=88888888&servicetype=1
河南本地,#genre#
河南都市频道,http://222.85.69.6/PLTV/88888888/224/3221226974/index.m3u8?icpid=88888888&servicetype=1
河南民生频道,http://222.85.69.6/PLTV/88888888/224/3221226994/index.m3u8?icpid=88888888&servicetype=1
河南法治频道,http://222.85.69.6/PLTV/88888888/224/3221226991/index.m3u8?icpid=88888888&servicetype=1
河南电视剧频道,http://222.85.69.6/PLTV/88888888/224/3221226971/index.m3u8?icpid=88888888&servicetype=1
河南新闻频道,http://222.85.69.6/PLTV/88888888/224/3221226997/index.m3u8?icpid=88888888&servicetype=1
河南公共频道,http://222.85.69.6/PLTV/88888888/224/3221226989/index.m3u8?icpid=88888888&servicetype=1
河南乡村频道,http://222.85.69.6/PLTV/88888888/224/3221226986/index.m3u8?icpid=88888888&servicetype=1
河南移动电视,http://222.85.69.6/PLTV/88888888/224/3221227216/index.m3u8?icpid=88888888&servicetype=1
大象健康河南,http://222.85.69.6/PLTV/88888888/224/3221227255/index.m3u8?icpid=88888888&servicetype=1
大美河南,http://222.85.69.6/PLTV/88888888/224/3221226979/index.m3u8?icpid=88888888&servicetype=1
大美河南,http://222.85.69.6/PLTV/88888888/224/3221227000/index.m3u8?icpid=88888888&servicetype=1
